@relation dataset

@attribute restored REAL 
@attribute contacts REAL 
@attribute contact REAL 
@attribute pictures REAL 
@attribute great REAL 
@attribute Verizon REAL 
@attribute minute REAL 
@attribute phone REAL 
@attribute thank REAL 
@attribute you REAL 
@attribute bring REAL 
@attribute love REAL 
@attribute fix REAL 
@attribute struggling REAL 
@attribute service REAL 
@attribute cell REAL 
@attribute switch REAL 
@attribute first REAL 
@attribute nice REAL 
@attribute store REAL 
@attribute lines REAL 
@attribute tomorrow REAL 
@attribute new REAL 
@attribute not REAL 
@attribute because REAL 
@attribute done REAL 
@attribute order REAL 
@attribute much REAL 
@attribute money REAL 
@attribute waste REAL 
@attribute WTF REAL 
@attribute pay REAL 
@attribute bill REAL 
@attribute trying REAL 
@attribute Anybody REAL 
@attribute iPhone REAL 
@attribute probably REAL 
@attribute won REAL 
@attribute anytime REAL 
@attribute soon REAL 
@attribute unlock REAL 
@attribute something REAL 
@attribute cheaper REAL 
@attribute ticked REAL 
@attribute Even REAL 
@attribute out REAL 
@attribute all REAL 
@attribute towers REAL 
@attribute ignoring REAL 
@attribute die REAL 
@attribute left REAL 
@attribute charger REAL 
@attribute updated REAL 
@attribute tablet REAL 
@attribute Awesome REAL 
@attribute fuck REAL 
@attribute want REAL 
@attribute least REAL 
@attribute everybody REAL 
@attribute cancellation REAL 
@attribute transferring REAL 
@attribute customer REAL 
@attribute off REAL 
@attribute better REAL 
@attribute looking REAL 
@attribute plan REAL 
@attribute dammit REAL 
@attribute sitting REAL 
@attribute bullshit REAL 
@attribute unlimited REAL 
@attribute please REAL 
@attribute Sorry REAL 
@attribute classe {PRO,CONTRA}


@DATA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17328679513998632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6597643324038146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888370153723534,0.0,0.0,0.0,PRO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRO
0.0,0.0,0.0,0.0,0.406008819940809,0.0,0.0,0.0,0.0,0.10663802777845313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24119186276378077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43587897600864867,0.0,0.0,0.0,0.0,0.0,0.48238372552756154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6090132299112135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17328679513998632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6597643324038146,0.0,PRO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17328679513998632,0.7838735539822874,0.17328679513998632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046209812037329684,0.0,0.0,0.0,0.0,0.20903294772860997,0.28417865846942103,0.10729586082894002,0.20903294772860997,0.18888088960374774,0.20903294772860997,0.28417865846942103,0.18888088960374774,0.20903294772860997,0.23702320409929423,0.1297273432703542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10729586082894002,0.09241962407465937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRO
